id,product_title,cluster
429_right,Laptop HP 14-ce1014TU -I3-8145U-4GB-500GB -WIN 10 -GOLD-5JN05PA,23
428_right,Laptop HP 14-ce1012TU -I5-8265U-4GB-1TB -WIN 10 -SILVER -5JN66PA,23
446_right,Laptop HP 15-da0033TX-4ME73PA_I5-8250U_4GB_1TB_VGA 2GB_WIN 10_SILVER,23
427_right,Laptop HP 14-ce1013TU-I5-8265U-4GB-1TB -WIN 10-PINK-5JN20PA,23
227_right,Laptop HP 14s-dq1065TU,23
425_right,Laptop HP 15-da1031TX -I5-8265U-4GB -1TB-VGA 2GB-WIN 10-B?C-5NK55PA,23
258_right,Laptop HP 14-ck0152TU 8DT53PA-BLACK N4417U/14inch,23
445_right,Laptop HP 250 G6-4NV79PA_I3-7020U_4GB_1TB_XÁM,23
347_right,HP SPECTRE X360 15T,24
317_right,HP SPECTRE X360 15T 2019,24
350_right,HP OMEN 15 2019,25
275_right,HP FOLIO 1040 G3,26
248_right,HP Envy 13 10th (2020),27
302_right,HP ELITEBOOK FOLIO 1040 G5,28
301_right,HP ELITEBOOK 840 G5,28
274_right,Laptop Hp Elitebook 820G3 i5 6200 8G 256G 12.5in Quá ??p cho Boss,28
298_right,HP ELITEBOOK FOLIO 1030 G3,28
290_right,HP ELITEBOOK 1040 G4,28
278_right,HP ELITEBOOK 1030 G2,28
285_right,HP ELITEBOOK 840 G4,28
313_right,HP ZBOOK 15 G3,29
344_right,HP ZBOOK 15U G4,29
330_right,HP ZBOOK 15U G5,29
77_right,"Laptop LG Gram 2020 14Z90N-V.AR52A5 i5-1035G7 , 8GB , 256GB , Intel Iris Plus Graphics , 14' FHD , Win 10",30
78_right,"Laptop LG Gram 2020 15Z90N-V.AR55A5 i5-1035G7 , 8GB ,512 GB , 15"" FHD IPS, sRGB 96% , WIN 10",30
80_right,"Laptop Acer Aspire 5 A514-54-540F i5-1135G7 , 8GB , 512GB , Intel Iris Xe Graphics , 14' FHD , Win 10",30
74_right,"Laptop Dell Gaming G7 7500 G7500B i7-10750H , 8GB , 512GB , VGA GTX 1660Ti 6GB , 15.6' FHD 144Hz,  Win 10",30
73_right,"Laptop MSI Modern 14 B11SB-074VN i5-1135G7 , 8GB , 512GB , VGA MX450 2GB , 14' FHD , Win 10",30
72_right,"Laptop Dell Inspiron 7306 N3I5202W i5-1135G7 , 8GB, 512GB, Intel Iris Xe Graphics , 13.3' FHD Touch , Win 10",30
81_right,"Laptop LG Gram 2020 14ZD90N-V.AX53A5  i5-1035G7 , 8GB , 256GB , Intel Iris Plus Graphics , 14' FHD , DOS",30
82_right,"Laptop LG Gram 2020 17Z90N-V.AH75A5 i7-1065G7 , 8 GB , 512 GB , 17"" WQXGA (2560 x 1600) IPS , WIN 10",30
71_right,"Laptop MSI GS66 Stealth 10UE-200VN i7-10870H , 16GB , 2TB , VGA RTX 3060 6GB , 15.6"" FHD 300Hz , Win 10",30
70_right,"Laptop MSI Modern 14 B11SB-244VN i5-1135G7 , 8GB , 512GB , VGA MX450 2GB , 14' FHD , Win 10",30
76_right,"Laptop LG Gram 2020 15ZD90N-V.AX56A5 i5-1035G7 , 8GB , 512GB , Intel Iris Plus Graphics , 15.6' FHD , DOS",30
75_right,"Laptop MSI GF63 Thin 9SCSR-1057VN ,i5-9300H , 8GB , 512GB , VGA GTX 1650Ti 4GB , 15.6' FHD 144Hz , Win 10",30
55_right,"Laptop Acer Nitro 5 AN515-56-51N4 i5-11300H , 8GB , 512GB , VGA GTX 1650 4GB , 15.6' FHD 144Hz . Win 10",30
68_right,"Laptop MSI Prestige 14 A11SCX-282VN ,i7-1185G7 , 8GB , 512GB , VGA GTX 1650 4GB , 14' FHD , Win 10",30
24_right,"Laptop HP Envy x360 13-ay0067AU 171N1PA R5-4500U , 8GB , 256GB , AMD Radeon Graphics , 13.3' FHD Touch , Win 10",30
19_right,"Laptop HP ProBook 430 G8 2H0N8PA i5-1135G7 , 8GB , 256GB , Intel Iris Xe Graphics , 13.3' FHD , Win 10",30
18_right,"Laptop HP ProBook 430 G8 2H0N9PA i5-1135G7 , 8GB , 512GB , Intel Iris Xe Graphics , 13.3' FHD , Win 10",30
49_right,"Laptop Acer Nitro 5 AN515-45-R3SM R5-5600H , 8GB , 512GB , VGA GTX 1650 4GB , 15.6' FHD 144Hz , Win 10",30
50_right,"Laptop Lenovo Legion 5 15ARH05H 82B100BJVN, R7-4800H , 8GB , 512GB , VGA GTX 1660Ti 6GB , 15.6' FHD 144Hz , Win 10",30
17_right,"Laptop Acer Swift 3 SF313-53-518Y ,i5-1135G7, 16GB , 512GB , Intel Iris Xe Graphics, 13.5' QHD , Win 10",30
52_right,"Laptop Lenovo Legion 5P 15IMH05 82AY003EVN , i5-10300H , 8GB , 512GB , VGA GTX 1650Ti 4GB , 15.6' FHD 144Hz , Win 10",30
83_right,"Laptop LG Gram 2020 14ZD90N-V.AX55A5 i5-1035G7 , 8GB , 512GB , 14"" FHD IPS, sRGB 96% ,FREE DOS",30
69_right,"Laptop Lenovo IdeaPad 5 15ITL05 82FG00M5VN i5-1135G7 , 8GB , 512GB , Intel Iris Xe Graphics,  15.6' FHD , Win 10",30
56_right,"Laptop Acer Nitro 5 2020 AN515-55-5923 i5-10300H , 8GB , 512GB , VGA GTX 1650Ti 4GB , 15.6' FHD 144Hz , Win 10",30
58_right,"Laptop MSI GF63 Thin 10SC-020VN ,i7-10750H , 8GB , 512GB , VGA GTX 1650 4GB , 15.6' FHD 144Hz , Win 10",30
59_right,"Laptop MSI Bravo 15 A4DCR-270VN R5-4600H , 8GB , 256GB , VGA RX 5300M 3GB , 15.6' FHD 144Hz , Win 10",30
60_right,"Laptop Avita Liber V14 NS14A8VNR571-CGB , i7-10510U , 8GB , 1TB , Intel UHD Graphics , 14' FHD , Win 10",30
62_right,"Laptop Avita Liber V14 NS14A8VNF561-ABB,  i5-10210U , 8GB , 512GB , Intel UHD Graphics , 14' FHD , Win 10",30
63_right,"Laptop Avita Liber V14 NS14A8VNF561-FLB ,i5-10210U , 8GB , 512GB, Intel UHD Graphics , 14' FHD , Win 10",30
64_right,"Laptop Avita Liber V14 NS14A8VNF561-SGB ,i5-10210U , 8GB , 512GB , Intel UHD Graphics , 14' FHD , Win 10",30
65_right,"Laptop Acer Swift 3 SF314-42-R5Z6 R5-4500U , 8GB , 512GB , AMD Radeon Graphics , 14' FHD , Win 10 + Office",30
66_right,"Laptop Lenovo Legion 5P 15IMH05H 82AW005PVN , i5-10300H , 8GB , 512GB , VGA GTX 1660Ti 6GB , 15.6' FHD 144Hz , Win 10",30
57_right,"Laptop MSI GF63 Thin 10SC-014VN i5-10200H , 8GB , 512GB , VGA GTX 1650 4GB , 15.6' FHD 144Hz , Win 10",30
84_right,"Laptop HP Pavilion Gaming 15-dk1086TX 206R3PA i7-10750H , 8GB , 512GB , VGA GTX 1650Ti 4GB , 15.6' FHD 144Hz , Win 10",30
92_right,"Laptop HP Pavilion x360 14-dw1018TU 2H3N6PA i5-1135G7, 8GB , 512GB , Intel Iris Xe Graphics , 14' FHD Touch , Win 10 + Office",30
86_right,"Laptop HP Envy 13-ba1027TU 2K0B1PA i5-1135G7 , 8GB , 256GB , Intel Iris Xe Graphics , 13.3'' FHD , Win 10 , Office",30
85_right,"Laptop HP Envy 13-ba1028TU 2K0B2PA i5-1135G7 , 8GB , 512GB , Intel Iris Xe Graphics , 13.3' FHD , Win 10 , Office",30
23_right,"Laptop HP ProBook 430 G8 2H0N6PA i5-1135G7 , 4GB , 256GB , Intel Iris Xe Graphics , 13.3' FHD , Win 10",30
93_right,"Laptop ASUS ROG Strix G15 G512-IAL013T i5-10300H , 8GB, 512GB , VGA GTX 1650Ti 4GB , 15.6' FHD 144Hz ,  Win 10",30
91_right,"Laptop ASUS TUF Gaming F15 FX506LI-HN096T i7-10870H , 8GB , 512GB , VGA GTX 1650Ti 4GB , 15.6' FHD 144Hz , Win 10",30
20_right,"Laptop HP ProBook 430 G8 2H0N7PA i5-1135G7 , 4GB , 512GB , Intel Iris Xe Graphics , 13.3' FHD , Win 10",30
90_right,"Laptop HP Pavilion 15-eg0003TX 2D9C5PA i5-1135G7 , 4GB , 256GB , VGA MX450 2GB , 15.6' FHD , Win 10 + Office",30
88_right,"Laptop HP Pavilion 15-eg0073TU 2P1N4PA i3-1115G4 , 4GB , 512GB , Intel UHD Graphics , 15.6' FHD , Win 10 + Office",30
123_right,Laptop Acer Aspire A515 56 54PK (NX.A1GSV.002) Core i5  1135G7  8GB  512GB SSD PCIe  Win 10  Full HD IPS  LED KEY,31
124_right,Laptop Acer Aspire A514 54 540F (NX.A28SV.005) Core i5  1135G7  8GB  512GB SSD PCIe Full HD IPS  LED KEY,31
125_right,Laptop Dell Vostro 3400 (YX51W1) Core i5  1135G7  4GB  256GB SSD PCIe MX330  2GB Win 10  Full HD,31
126_right,Laptop Dell Vostro 3500 (7G3981)  Core i5  1135G7  8GB  256GB SSD PCIe  Win 10  Full HD,31
127_right,Laptop Lenovo Ideapad 5 15ARE05 (81YQ00BHVN)  Ryzen 5 4500U  8GB  512GB SSD PCIe Win 10  Full HD IPS  Finger,31
128_right,Laptop HP 14s dk1055au (171K9PA) Ryzen 3 3250U  4GB  256GB SSD PCIe  Win 10,31
129_right,Laptop HP 15s fq2027TU (2Q5Y3PA)  Core i5  1135G7  8GB  512GB SSD PCIe WIN 10,31
120_right,Laptop Lenovo V15 IIL (82C500STVN)  Core i5  1035G1  8GB  512GB SSD PCIe MX330 with 2GB,31
143_right,Laptop Lenovo Thinkbook 15 G2 ITL (20VE006WVN)  Core i5 1135G7  8GB  512GB SSD PCIe Full HD IPS,31
